host_since,neighbourhood_group,count
2008,Brooklyn,15
2008,Manhattan,7
2008,Queens,2
2009,Bronx,1
2009,Brooklyn,138
2009,Manhattan,99
2009,Queens,14
2009,Staten Island,3
2010,Bronx,25
2010,Brooklyn,427
2010,Manhattan,320
2010,Queens,43
2010,Staten Island,4
2011,Bronx,23
2011,Brooklyn,1215
2011,Manhattan,895
2011,Queens,111
2011,Staten Island,10
2012,Bronx,40
2012,Brooklyn,1966
2012,Manhattan,1658
2012,Queens,262
2012,Staten Island,20
2013,Bronx,58
2013,Brooklyn,2283
2013,Manhattan,2290
2013,Queens,352
2013,Staten Island,13
2014,Bronx,108
2014,Brooklyn,2771
2014,Manhattan,3001
2014,Queens,599
2014,Staten Island,27
2015,Bronx,100
2015,Brooklyn,2800
2015,Manhattan,3211
2015,Queens,745
2015,Staten Island,33
2016,Bronx,158
2016,Brooklyn,2065
2016,Manhattan,2596
2016,Queens,758
2016,Staten Island,52
2017,Bronx,187
2017,Brooklyn,1299
2017,Manhattan,1489
2017,Queens,768
2017,Staten Island,46
2018,Bronx,180
2018,Brooklyn,1111
2018,Manhattan,1335
2018,Queens,710
2018,Staten Island,45
2019,Bronx,197
2019,Brooklyn,1213
2019,Manhattan,2073
2019,Queens,768
2019,Staten Island,43
2020,Bronx,72
2020,Brooklyn,433
2020,Manhattan,606
2020,Queens,265
2020,Staten Island,12
